datasyst_user,affiliation_id,name,qh,group,flemish,country_id,country_code2,country_code3
http://lifewatch-user-analysis-2023/user/cfde1778-f8d3-4fb1-992e-0b4c94613321,https://marineinfo.org/id/institute/12964,EMODnet (European Marine Observation and Data Network),http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Data_infrastructure,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AEU,,
http://lifewatch-user-analysis-2023/user/a20524d2-65d7-41bf-b98f-ed5b36feb184,https://marineinfo.org/id/institute/1564,Belgian Biodiversity Platform (BBPf),http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Data_infrastructure,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/26ce268e-54f4-44d1-8f8a-03e1356c5f7f,https://marineinfo.org/id/institute/138,VITO Vlaamse Instelling voor Technologisch Onderzoek,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/749551c6-d02c-4ce3-b096-71ac649a486a,https://marineinfo.org/id/institute/1883,Royal Belgian Institute of Natural Sciences (RBINS),http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/6462673a-31ba-4ec3-b316-94bd1e8c3eac,https://marineinfo.org/id/institute/36,VLIZ Flanders Marine Institute,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/93c97471-6b78-49fc-b67a-bdf04e6061cc,https://marineinfo.org/id/institute/1883,Royal Belgian Institute of Natural Sciences (RBINS),http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/67a43bd5-2e32-492f-bb96-330ed6bfad4a,https://marineinfo.org/id/institute/471,Ghent University,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/University,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/aeb95105-7abd-4334-9090-052da150c889,http://lifewatch-user-analysis-2023/affiliation/eedc2aab-2f2d-497f-ae0c-45205cbd7c40,personal,http://lifewatch.org/ns/Civil_society,http://lifewatch.org/ns/personal_interest,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,
http://lifewatch-user-analysis-2023/user/38976c02-2f43-4723-9e2a-b60957a2bac4,http://lifewatch-user-analysis-2023/affiliation/eedc2aab-2f2d-497f-ae0c-45205cbd7c40,personal,http://lifewatch.org/ns/Civil_society,http://lifewatch.org/ns/personal_interest,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,
http://lifewatch-user-analysis-2023/user/a78f179c-1db2-4cbb-b725-fe8f579cd5be,https://marineinfo.org/id/institute/5450,Wageningen University & Research (WUR),http://lifewatch.org/ns/Science,http://lifewatch.org/ns/University,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ANL,NL,NLD
