raw_country,raw_institute,raw_source,identifier
edu,si,3-users_lifewatch_by_group_kpi_2023-11-07,f332c61e-87ee-405a-b9d9-fb2a57e7efd2
net,ibssiuf,3-users_lifewatch_by_group_kpi_2023-11-07,2a0e89a8-415a-4d92-96c7-8cfab999b7a5
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,d5d72818-db80-439e-acb4-5d6660bbabcf
fr,unicaen,3-users_lifewatch_by_group_kpi_2023-11-07,83c8949a-3c15-45bb-8d50-2c5317b55a31
fr,univ-amu,3-users_lifewatch_by_group_kpi_2023-11-07,d00329f3-69bd-4588-911a-0b355112d4d4
no,uit,3-users_lifewatch_by_group_kpi_2023-11-07,afda052f-d3b8-4467-bd04-741de67a2db0
it,szn,3-users_lifewatch_by_group_kpi_2023-11-07,4508f307-7e43-4e5f-86e1-c5976a5b09c2
be,ilvovlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,be104d7d-26d2-46d7-9f6c-9af8eaecfa95
be,ilvovlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,d1e863e3-0214-4118-8858-46d6404c3779
be,ilvovlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,bb530ba8-c763-4d82-883f-301dc1ff6b20
fr,orange,3-users_lifewatch_by_group_kpi_2023-11-07,40e763fc-f6d6-423f-a177-48af8ea2449f
de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07,561771f1-dc5c-4e81-8ee3-fa1ce7956fa7
au,qmqldgov,3-users_lifewatch_by_group_kpi_2023-11-07,8e06ddec-f7bb-45a5-b704-3d112f7ffd16
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,5f68b0de-d11c-4694-8555-5307facae09c
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,2584b209-a866-4cb6-a2e6-871fa895c9f9
org,recoscix,3-users_lifewatch_by_group_kpi_2023-11-07,496c4719-f425-4933-acc6-83cd5d5b8a5f
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,508147da-9949-4122-aff5-2591c07c9415
ke,africaonlineco,3-users_lifewatch_by_group_kpi_2023-11-07,0c11a98c-b809-47c1-b8b9-7e254144d7ce
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,3234b93c-ff0b-4867-ae90-5726fa3783f9
be_DISABLED,mowvlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,54344dcd-8c5e-4405-9297-33b29eca3d98
ke,kmfrico,3-users_lifewatch_by_group_kpi_2023-11-07,dc97bfab-30d0-40c6-9148-fe0a2a8e1d9b
be,vubac,3-users_lifewatch_by_group_kpi_2023-11-07,b205a5f9-117d-49eb-97d8-671b6c85ccb8
com,recoscix,3-users_lifewatch_by_group_kpi_2023-11-07,645244dd-fb7a-4689-ab45-a55cb8c09a25
ke,kmfrico,3-users_lifewatch_by_group_kpi_2023-11-07,be90bde4-c5c7-4ca5-aa33-e35931cbf2bb
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,eeff08a0-94ad-4173-9a63-472ab5ce5aa4
fr,yahoo,3-users_lifewatch_by_group_kpi_2023-11-07,7748c0a9-908e-44c5-b130-7dfde4af479e
mu,moiintnet,3-users_lifewatch_by_group_kpi_2023-11-07,0678c543-6c5e-4db8-8a34-00cdafaf65ca
com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,dd98be9d-db6f-46cb-98db-c69fbe786f81
com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,ae9b281b-18a8-46c4-a95f-fd171d95a52d
tn,instmrnrt,3-users_lifewatch_by_group_kpi_2023-11-07,31bb9280-939a-4b75-9257-3d89bdd1b117
be,naturalsciences,3-users_lifewatch_by_group_kpi_2023-11-07,3a5f578e-8b14-4785-b5ac-72cc61e44ada
be,naturalsciences,3-users_lifewatch_by_group_kpi_2023-11-07,11c9e1e0-0468-4266-b825-baf8700de4b8
be_DISABLED,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,5af2a356-1a57-4077-88fd-db3df1127f4b
com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,683af584-b1a1-4a54-90ec-c491ea1bff81
nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07,eb72675f-6e1f-4d84-856f-4e5316381177
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,0033f5cb-70fe-45b4-b293-46cc2b641f5a
com,hotmail,3-users_lifewatch_by_group_kpi_2023-11-07,f4e00e59-be14-4476-868f-5ffdfe206a27
be,naturalsciences,3-users_lifewatch_by_group_kpi_2023-11-07,d6f445ac-0cdf-48b4-a518-cacbf5edf9bb
pl,biolunilodz,3-users_lifewatch_by_group_kpi_2023-11-07,e73af1ea-afaf-4998-b13b-cb71974c698d
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,4249b65a-9335-41b7-9658-189f86e12091
