source,email_domain_end,email_domain_name,user_identifier,stand_institute,Unnamed: 0.1,Unnamed: 0,country_alpha2,country_alpha3,country_official_name,country_url,flemish,group,qh,MarineInfo_ID,ROR_ID,local_ID
3-users_lifewatch_by_group_kpi_2023-11-07,be,naturalsciences,3-users_lifewatch_by_group_kpi_2023-11-07_b4bcb4c7-53fd-4147-ad66-50f140c6d847,Royal Belgian Institute of Natural Sciences (RBINS),243.0,243.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,o,Research institute,Science,https://marineinfo.org/id/institute/1883,https://ror.org/02y22ws83,ac8f2c17-78f0-4d05-9fe2-21db22fe55ef
3-users_lifewatch_by_group_kpi_2023-11-07,com,sanamyan,3-users_lifewatch_by_group_kpi_2023-11-07_23abe5ac-eb31-4f3e-8652-2ae674502f18,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
3-users_lifewatch_by_group_kpi_2023-11-07,nz,niwaco,3-users_lifewatch_by_group_kpi_2023-11-07_089e7612-27b2-4cf6-b71c-c9bac3b5332f,National Institute of Water and Atmospheric Research (NIWA),1459.0,1459.0,NZ,NZL,New Zealand,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ANZ,,Research institute,Science,https://marineinfo.org/id/institute/4968,https://ror.org/04hxcaz34,38970e52-e841-48c3-98f5-ad66772b9a5d
3-users_lifewatch_by_group_kpi_2023-11-07,ie,nuigalway,3-users_lifewatch_by_group_kpi_2023-11-07_33cf16d3-4ba7-4fa0-80d6-c348c15f2591,National University of Ireland Galway,1116.0,1116.0,IE,IRL,Ireland,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AIE,,University,Science,https://marineinfo.org/id/institute/1931,https://ror.org/03bea9k73,d13796ee-a08d-4d80-8760-a285097b2f9d
3-users_lifewatch_by_group_kpi_2023-11-07,de,rwth-aachen,3-users_lifewatch_by_group_kpi_2023-11-07_2d67c3e4-e00f-40b7-b7b5-cfc462e718d1,RWTH Aachen University,843.0,843.0,DE,DEU,Federal Republic of Germany,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ADE,,University,Science,https://marineinfo.org/id/institute/4451,https://ror.org/04xfq0f34,03c6d2f5-5503-40d5-aedd-78d21ff8d27f
3-users_lifewatch_by_group_kpi_2023-11-07,uk,nhmac,3-users_lifewatch_by_group_kpi_2023-11-07_814b6d55-b578-4f07-b0f7-5e2779dd5937,Natural History Museum (NHM),,,,,,,,,,,,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,nova,3-users_lifewatch_by_group_kpi_2023-11-07_9992b521-2bf1-458d-bf80-84b9c40d10a8,,,,,,,,,,,,,
3-users_lifewatch_by_group_kpi_2023-11-07,nl,kpnmail,3-users_lifewatch_by_group_kpi_2023-11-07_857622ae-61a4-4fc8-b710-78bf58f59dd3,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
3-users_lifewatch_by_group_kpi_2023-11-07,it,unipd,3-users_lifewatch_by_group_kpi_2023-11-07_c65d3173-b09e-4586-b59c-921fcabae0c1,University of Padova,1220.0,1220.0,IT,ITA,Italian Republic,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AIT,,University,Science,https://marineinfo.org/id/institute/7372,https://ror.org/00240q980,ad80ee03-0767-43e1-aec3-b576f59ebf4b
3-users_lifewatch_by_group_kpi_2023-11-07,fr,imev-mer,3-users_lifewatch_by_group_kpi_2023-11-07_f5119323-d895-4cb8-9354-26154fdcd4c0,IMEV Institut de la mer de Villefranche - Oceanographic Observatory,,,,,,,,,,,,
3-users_lifewatch_by_group_kpi_2023-11-07,nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07_d02d457e-f8d2-43de-b716-4d6e373bad1a,Naturalis Biodiversity Center,1419.0,1419.0,NL,NLD,Kingdom of the Netherlands,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ANL,,Museum,Science,https://marineinfo.org/id/institute/12212,https://ror.org/0566bfb96,a1937ae7-cb00-4044-9481-5a1d2f9698a8
3-users_lifewatch_by_group_kpi_2023-11-07,ro,antipa,3-users_lifewatch_by_group_kpi_2023-11-07_a3927343-e7da-4913-9e55-a13150cf5e34,Grigore Antipa National Museum of Natural History,1617.0,1617.0,RO,ROU,Romania,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ARO,,Museum,Science,https://marineinfo.org/id/institute/10490,-,ead9e2e1-6d3c-4960-8bec-1f7e4ac09a7c
3-users_lifewatch_by_group_kpi_2023-11-07,de,ecolevol,3-users_lifewatch_by_group_kpi_2023-11-07_97c496fc-bd7a-4352-af12-c9985b4c0728,University of Vetenary Medicine Hannover - Insitute for Animal Ecology and Cell Biology (TiHo) - division of ecology and evolution,900.0,900.0,DE,DEU,Federal Republic of Germany,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ADE,,Research institute,Science,https://marineinfo.org/id/institute/6121,-,f76eaa5d-7829-4d4e-8c1f-6440af3a88af
3-users_lifewatch_by_group_kpi_2023-11-07,de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07_a14cec4a-6fdd-4213-9950-338d059571c9,Naturmuseum Senckenberg,840.0,840.0,DE,DEU,Federal Republic of Germany,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ADE,,Museum,Science,-,https://ror.org/05jv9s411,605a8e11-7279-46da-b438-191068b3ff7c
3-users_lifewatch_by_group_kpi_2023-11-07,be,ulbac,3-users_lifewatch_by_group_kpi_2023-11-07_28fe51f4-7b63-4c43-bebc-b7bf3fcdfcfe,Université Libre de Bruxelles (ULB),,,,,,,,,,,,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,mnhn,3-users_lifewatch_by_group_kpi_2023-11-07_7ec452dc-e5a7-4e0c-8bb3-216e27e60469,MNHN National Museum of Natural History,732.0,732.0,FR,FRA,French Republic,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AFR,,Museum,Science,https://marineinfo.org/id/institute/4397,https://ror.org/03wkt5x30,d3c02001-d616-4e7c-a9bc-4c47f75c726b
3-users_lifewatch_by_group_kpi_2023-11-07,bm,gov,3-users_lifewatch_by_group_kpi_2023-11-07_386ff055-cef4-4446-af80-ac3da5014518,,,,,,,,,,,,,
3-users_lifewatch_by_group_kpi_2023-11-07,com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07_446ff146-f224-43e4-b51a-418b0047367d,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
3-users_lifewatch_by_group_kpi_2023-11-07,uk,nhmac,3-users_lifewatch_by_group_kpi_2023-11-07_83519351-9a05-4dae-9edf-c0f823c89f1d,Natural History Museum (NHM),,,,,,,,,,,,
3-users_lifewatch_by_group_kpi_2023-11-07,it,unile,3-users_lifewatch_by_group_kpi_2023-11-07_7c035b9f-ddb5-4809-9ad8-6d27b5ddef29,University of Salento,1237.0,1237.0,IT,ITA,Italian Republic,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AIT,,University,Science,https://marineinfo.org/id/institute/9076,https://ror.org/03fc1k060,0dba3c9c-8d1f-4ea6-9ee0-d1b7d7a5d970
3-users_lifewatch_by_group_kpi_2023-11-07,gr,bioluoa,3-users_lifewatch_by_group_kpi_2023-11-07_be5200b9-53c8-492d-ad11-c28179f2d77d,National and Kapodistrian University of Athens,987.0,987.0,GR,GRC,Hellenic Republic,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AGR,,University,Science,https://marineinfo.org/id/institute/4405,https://ror.org/04gnjpq42,8cb555b6-e0b6-4154-a252-27fa57c9472c
3-users_lifewatch_by_group_kpi_2023-11-07,uk,nocac,3-users_lifewatch_by_group_kpi_2023-11-07_cbe4938c-0d07-471b-87b1-f008f4a9e184,NOC (National Oceanography Centre),2061.0,2061.0,GB,GBR,the United Kingdom of Great Britain and Northern Ireland,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AGB,,Research institute,Science,https://marineinfo.org/id/institute/2045,https://ror.org/00874hx02,582cd1f6-2158-442a-b95a-8fec09cdc20f
3-users_lifewatch_by_group_kpi_2023-11-07,de,mfn-berlin,3-users_lifewatch_by_group_kpi_2023-11-07_37c825e1-1959-44a2-bac8-efa7611ac305,Museum für Naturkunde (MfN),,,,,,,,,,,,
