source,raw_institute,user_identifier,stand_institute,Unnamed: 0.1,Unnamed: 0,country_alpha2,country_alpha3,country_official_name,country_url,flemish,group,qh,MarineInfo_ID,ROR_ID,local_ID
4-datarequest_users_2023_11_07,deltares,4-datarequest_users_2023_11_07_0b48a8ce-d650-47a6-8235-e957a346190a,Deltares,1409.0,1409.0,NL,NLD,Kingdom of the Netherlands,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ANL,,Company,Industry,https://marineinfo.org/id/institute/8811,https://ror.org/01deh9c76,ea5b46b0-4d4c-4d90-9471-004e6f92f599
4-datarequest_users_2023_11_07,vliz,4-datarequest_users_2023_11_07_6c387c36-c409-454d-97c0-a42f6bc394fe,VLIZ Flanders Marine Institute,273.0,273.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/36,https://ror.org/0496vr396,29b5daf6-c18b-4149-8570-1577dba33ecc
4-datarequest_users_2023_11_07,Natural History Museum - Florence University,4-datarequest_users_2023_11_07_bc9761c1-3df6-437f-b366-0e655f01b097,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,ulb,4-datarequest_users_2023_11_07_c8ad6ca4-6fdd-4f37-97b4-a518bc747b35,Free University of Brussels (VUB),175.0,175.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,o,University,Science,https://marineinfo.org/id/institute/2956,https://ror.org/006e5kg04,02e24a2d-18fc-47ac-8489-e9cfbbb7f666
4-datarequest_users_2023_11_07,Intercommunale Kustreddingsdienst West-Vlaanderen,4-datarequest_users_2023_11_07_ea5336d5-27ec-47d5-9c0f-ebed52593a3c,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,vliz,4-datarequest_users_2023_11_07_718a4a12-ad65-48e0-b7e1-b2cb1cf87cef,VLIZ Flanders Marine Institute,273.0,273.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/36,https://ror.org/0496vr396,29b5daf6-c18b-4149-8570-1577dba33ecc
4-datarequest_users_2023_11_07,naturalsciences,4-datarequest_users_2023_11_07_eb43bb52-2b57-4cbb-b24d-3905bb8d330f,Royal Belgian Institute of Natural Sciences (RBINS),243.0,243.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,o,Research institute,Science,https://marineinfo.org/id/institute/1883,https://ror.org/02y22ws83,ac8f2c17-78f0-4d05-9fe2-21db22fe55ef
4-datarequest_users_2023_11_07,personal,4-datarequest_users_2023_11_07_39b7dd5c-3a04-4030-9bb9-8e7642514a30,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
4-datarequest_users_2023_11_07,student imbrcsea,4-datarequest_users_2023_11_07_9e78d3d5-4501-47ef-b713-bb1c8e356550,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Sea Matters (BVBA),4-datarequest_users_2023_11_07_a7323138-0886-4b25-b7b2-ebbca3f7dcb9,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Jan De Nul,4-datarequest_users_2023_11_07_2fdd349d-41c6-4292-b9f4-0348f9baecb2,Jan De Nul Group,222.0,222.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Company,Industry,https://marineinfo.org/id/institute/240,-,2df01549-d41c-424a-adf8-a07a7582a7cc
4-datarequest_users_2023_11_07,IMDC,4-datarequest_users_2023_11_07_84d67102-8c99-4386-8a27-6d8cf50ed0d0,IMDC,215.0,215.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Consultancy,Industry,https://marineinfo.org/id/institute/777,https://ror.org/00b7zp807,3e328c05-5c03-446a-9503-69f275defb97
4-datarequest_users_2023_11_07,vito,4-datarequest_users_2023_11_07_883771fd-ba44-41a7-891b-da75d896fbc2,VITO Vlaamse Instelling voor Technologisch Onderzoek,269.0,269.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/138,https://ror.org/04gq0w522,ea3b3044-958c-48c0-be33-481e7245963c
4-datarequest_users_2023_11_07,University of Aveiro,4-datarequest_users_2023_11_07_2cc55907-8e3c-41da-a1cb-9518350b2865,University of Aveiro,1589.0,1589.0,PT,PRT,Portuguese Republic,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3APT,,University,Science,https://marineinfo.org/id/institute/5421,https://ror.org/00nt41z93,f0be8ac3-796f-4ad4-86f2-a61ec106f93c
4-datarequest_users_2023_11_07,CNRS,4-datarequest_users_2023_11_07_af2baab1-21a0-413e-8cfc-4d958c36dcc6,CNRS,689.0,689.0,FR,FRA,French Republic,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AFR,,Research institute,Science,https://marineinfo.org/id/institute/8395,https://ror.org/02feahw73,83630991-caaf-4762-81a1-4fbc229ba87e
4-datarequest_users_2023_11_07,biotope-environnement,4-datarequest_users_2023_11_07_ebc010d2-8f9b-47cc-8879-1de855a2aa80,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,personal,4-datarequest_users_2023_11_07_445e55b3-09cd-465e-a1f6-33c58b79df73,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
